id,active,civicAddress,aptNumber,street,city,neighbourhood,province,postalCode,country,listingType,price,livingArea,propertyAre,numOfBedrooms,numOfBathrooms,numOfFloors,yearBuilt,listedDate,propertyType
1,1,4,801,Heffernan,Montreal,Conception Bay South,Quebec,I6Y 1M6,Canada,rent,9256,3122,8996,3,8,4,1923-01-01,2022-12-15,condominium
2,1,439,877,Eastlawn,Montreal,Barrhead,Quebec,F0N 3W9,Canada,sale,52419447,554,1257,5,6,1,1947-01-01,2020-09-21,quadruplex
3,1,304,283,Fair Oaks,Montreal,Boisbriand,Quebec,Y9T 6Y1,Canada,sale,71538408,1394,9578,3,7,6,1937-01-01,2011-01-02,condominium
4,1,18,473,Marcy,Montreal,Alma,Quebec,X8B 3M3,Canada,sale,83742800,1319,6787,10,3,1,1990-01-01,2014-09-27,quadruplex
5,1,91849,854,Dixon,Montreal,Les Cèdres,Quebec,K4A 7W9,Canada,sale,15952079,2008,1606,4,5,4,1931-01-01,2010-06-16,studio
6,1,8,793,Springview,Montreal,Fairview,Quebec,Q9P 7Y9,Canada,rent,3544,2771,4432,6,8,6,1991-01-01,2017-10-15,condominium
7,1,23,623,Darwin,Montreal,Unity,Quebec,Z0V 7E6,Canada,rent,8157,2813,4088,4,9,4,1987-01-01,2012-08-04,condominium
8,1,232,846,Clove,Montreal,Sechelt,Quebec,Y4Z 5T1,Canada,sale,70260051,2567,5077,8,6,10,2011-01-01,2020-03-07,studio
9,1,5,183,Northfield,Montreal,Kitchener,Quebec,C5Z 0N4,Canada,rent,1287,680,2168,4,3,9,1986-01-01,2010-09-30,duplex
10,1,2,638,Memorial,Montreal,Sherwood Park,Quebec,B4X 6U8,Canada,sale,17723701,2694,9871,4,4,7,1967-01-01,2014-04-20,studio
11,1,2,319,Rieder,Montreal,Delson,Quebec,J9I 5Y3,Canada,rent,3141,457,2967,7,1,6,1990-01-01,2010-12-13,studio
12,1,246,785,Longview,Montreal,Maple Creek,Quebec,I6Q 6A8,Canada,sale,41892497,2291,7082,2,6,10,1926-01-01,2014-12-19,single-family
13,1,4601,713,Elka,Montreal,Mont-Joli,Quebec,O6U 0R3,Canada,sale,38681928,1549,3097,9,7,4,1968-01-01,2015-01-06,triplex
14,1,7,398,Meadow Valley,Montreal,Mont-Tremblant,Quebec,D2U 3J6,Canada,sale,46690765,1688,9882,5,7,2,2018-01-01,2012-05-18,quadruplex
15,1,81,783,Anhalt,Montreal,North Vancouver,Quebec,D2I 1Z3,Canada,sale,78530289,4390,7466,9,1,4,1958-01-01,2022-05-05,quadruplex
16,1,6560,871,Victoria,Montreal,Gjoa Haven,Quebec,Q1E 4Z1,Canada,rent,1372,4750,2696,2,4,6,1991-01-01,2012-03-16,quadruplex
17,1,4,653,Petterle,Montreal,Maple Creek,Quebec,Z5D 9A0,Canada,rent,7165,2551,4196,6,7,3,1916-01-01,2023-05-06,townhouse
18,1,16573,465,Kingsford,Montreal,Peterborough,Quebec,E3W 4E0,Canada,sale,85171682,3934,1501,1,2,2,2018-01-01,2010-05-25,condominium
19,1,523,835,South,Montreal,Cache Creek,Quebec,N3A 7M9,Canada,sale,98932484,2128,7793,1,10,5,2023-01-01,2012-06-29,triplex
20,1,52961,868,Maple Wood,Montreal,Saint-Tite,Quebec,X9V 0B3,Canada,sale,48853090,828,1001,9,10,2,1907-01-01,2018-01-14,studio
21,1,8129,848,Oak,Montreal,Saint Andrews,Quebec,V3M 1R8,Canada,sale,89164849,1424,1530,6,3,3,1926-01-01,2017-07-24,townhouse
22,1,636,727,Boyd,Montreal,Sparwood,Quebec,F4V 1Y2,Canada,sale,61602379,753,9815,10,10,9,1984-01-01,2023-01-27,townhouse
23,1,56,554,Waubesa,Montreal,Nanaimo,Quebec,W1W 4W4,Canada,rent,6895,705,8198,4,6,2,1964-01-01,2015-02-16,other
24,1,8450,100,Loomis,Montreal,Langenburg,Quebec,S5Z 4N2,Canada,rent,8832,3475,5021,6,1,9,1929-01-01,2012-10-11,studio
25,1,37884,962,Rusk,Montreal,Kitimat,Quebec,M5J 5Z5,Canada,sale,62061786,1892,5741,5,4,5,1927-01-01,2014-09-15,condominium
26,1,6,171,Montana,Montreal,Saint-Augustin-de-Desmaures,Quebec,U0B 8E8,Canada,rent,898,597,6750,9,5,2,1925-01-01,2021-12-02,duplex
27,1,1,602,Arrowood,Montreal,St. Catharines,Quebec,J5L 2V5,Canada,rent,4805,4468,4623,2,7,6,1951-01-01,2018-03-15,studio
28,1,91,708,Quincy,Montreal,Havre-Saint-Pierre,Quebec,B4T 3H5,Canada,rent,730,3874,2085-01-01,1,9,1,1965-01-01,2021-03-11,townhouse
29,1,7,275,Commercial,Montreal,Barrie,Quebec,U5T 1G5,Canada,sale,65801319,3889,6579,3,5,5,1994-01-01,2017-11-24,townhouse
30,1,2,439,Waxwing,Montreal,Drummondville,Quebec,Z4P 1C4,Canada,sale,71328865,3920,2446,10,7,4,1942-01-01,2020-04-26,studio
31,0,61101,368,Utah,Montreal,Havre-Saint-Pierre,Quebec,E2B 9K7,Canada,rent,5602,3604,4162,7,9,3,1928-01-01,2022-06-19,triplex
32,1,66,970,Donald,Montreal,Magrath,Quebec,L9K 9V5,Canada,sale,15647954,2684,1289,7,5,1,1931-01-01,2012-05-14,studio
33,1,8,214,Hagan,Montreal,Omemee,Quebec,J4B 6B0,Canada,rent,1665,3941,3575,10,9,5,1919-01-01,2016-11-15,other
34,1,36475,546,Blackbird,Montreal,Barrhead,Quebec,A6D 9W6,Canada,rent,8477,2117,1925,1,10,2,1917-01-01,2012-04-16,other
35,1,1,853,Corry,Montreal,Sicamous,Quebec,D2I 7R4,Canada,rent,8412,422,9420,5,8,1,2007-01-01,2013-06-03,townhouse
36,1,10,990,Heffernan,Montreal,Cabano,Quebec,G5H 8A2,Canada,rent,4695,4005,2234,8,5,1,2019-01-01,2018-08-07,other
37,1,59,331,Lunder,Montreal,Sherbrooke,Quebec,F2A 4A4,Canada,rent,4349,3113,7471,7,1,1,2010-01-01,2014-07-27,condominium
38,1,10,152,Marquette,Montreal,Sherbrooke,Quebec,T8E 1J4,Canada,rent,8801,1066,8718,3,6,7,1973-01-01,2022-03-10,studio
39,1,1,252,Summit,Montreal,Saint-André-Avellin,Quebec,B5Q 2Q0,Canada,rent,7407,4023,7063,1,10,6,1996-01-01,2021-06-10,studio
40,1,4185,652,Vera,Montreal,Louiseville,Quebec,A9I 7O4,Canada,sale,54100525,4964,4302,5,4,7,1933-01-01,2018-10-21,quadruplex
41,1,893,680,Bobwhite,Montreal,Labrador City,Quebec,Y6M 0D7,Canada,rent,7246,4967,5316,2,1,5,1928-01-01,2018-04-22,townhouse
