id,property_id,client_id,broker_id,status,time
1,1,160,1,1,2023-02-15 04:28:01
2,2,319,1,1,2022-11-25 18:04:53
3,3,619,1,4,2023-09-05 09:52:09
4,4,382,1,3,2023-10-08 21:57:41
5,5,759,1,3,2023-07-02 20:11:04
6,6,811,1,4,2023-05-17 01:26:13
7,7,438,1,4,2023-04-24 01:08:56
8,8,633,1,1,2023-03-16 14:04:34
9,9,398,1,2,2023-06-29 08:01:51
10,10,719,1,4,2023-06-15 18:01:34
11,11,100,1,4,2023-04-01 16:42:24
12,12,641,1,3,2023-04-19 05:31:46
13,13,862,1,1,2023-12-03 10:19:22
14,14,500,1,2,2023-04-18 05:32:54
15,15,374,1,1,2023-05-18 11:45:35
16,16,193,1,4,2022-11-07 22:06:08
17,17,295,1,4,2023-09-20 18:49:15
18,18,577,1,2,2023-07-03 07:12:56
19,19,20,1,1,2023-04-15 09:00:40
20,20,760,1,1,2023-12-19 16:04:08
21,21,842,1,3,2023-03-01 06:13:56
22,22,389,1,2,2023-10-08 20:37:40
23,23,763,1,2,2023-01-14 23:57:02
24,24,870,1,1,2023-02-03 23:57:43
25,25,668,1,4,2023-05-02 09:50:22
26,26,244,1,2,2023-07-08 01:05:02
27,27,558,1,2,2023-03-19 03:34:13
28,28,828,1,4,2023-05-11 08:32:35
29,29,10,1,3,2023-03-09 13:35:35
30,30,72,1,2,2022-12-20 11:24:03
31,31,771,2,4,2023-10-07 14:16:10
32,32,858,2,1,2023-06-25 10:21:26
33,33,487,2,2,2022-12-27 03:14:46
34,34,676,2,3,2022-12-17 23:52:52
35,35,609,2,3,2023-09-12 14:08:13
36,36,373,2,2,2023-11-09 08:40:58
37,37,162,2,3,2023-07-23 10:34:56
38,38,236,2,1,2023-12-23 04:41:49
39,39,493,2,2,2023-09-15 20:46:01
40,40,187,2,2,2022-12-31 04:20:50
41,41,395,2,2,2023-08-27 13:54:47
42,42,373,2,4,2023-12-25 19:00:25
43,43,470,2,1,2023-04-25 13:27:58
44,44,512,2,2,2023-06-03 17:16:15
45,45,540,2,1,2023-04-20 18:53:24
46,46,788,2,3,2023-10-14 09:55:56
47,47,646,2,4,2023-10-27 20:34:01
48,48,521,2,3,2022-10-25 19:27:34
49,49,792,2,3,2023-03-27 03:58:10
50,50,611,2,3,2023-04-19 10:17:26
51,51,188,2,1,2023-01-19 23:10:34
52,52,687,2,3,2023-09-17 00:10:52
53,53,493,2,1,2023-01-15 07:54:54
54,54,815,2,2,2023-10-09 12:38:27
55,55,383,2,4,2023-05-03 00:31:23
56,56,272,2,1,2023-09-18 19:55:41
57,57,735,2,2,2023-11-15 20:24:55
58,58,41,2,1,2023-12-29 09:49:32
59,59,301,2,2,2023-03-24 13:28:21
60,60,472,2,2,2023-11-15 12:09:20
61,61,433,3,1,2023-01-10 17:19:40
62,62,476,3,4,2023-08-22 01:03:28
63,63,367,3,1,2023-11-23 05:57:14
64,64,493,3,1,2023-03-06 04:15:08
65,65,535,3,1,2023-08-03 13:08:21
66,66,841,3,4,2023-08-01 06:42:49
67,67,616,3,1,2023-06-27 10:34:33
68,68,95,3,4,2023-08-02 21:55:22
69,69,367,3,2,2023-05-03 08:43:58
70,70,494,3,3,2023-11-16 21:08:30
71,71,437,3,4,2023-05-05 08:11:45
72,72,117,3,2,2022-11-20 20:07:34
73,73,737,3,2,2023-09-04 08:43:11
74,74,640,3,4,2023-10-02 01:27:20
75,75,425,3,1,2023-05-09 10:24:23
76,76,499,3,4,2023-10-16 10:47:33
77,77,898,3,1,2023-11-07 20:36:15
78,78,770,3,4,2023-09-22 01:59:50
79,79,195,3,3,2023-09-29 23:25:21
80,80,249,3,2,2023-08-15 12:01:53
81,81,799,3,4,2023-10-20 04:54:49
82,82,220,3,1,2023-04-26 00:12:34
83,83,624,3,2,2023-11-26 11:24:58
84,84,129,3,3,2023-07-04 15:04:19
85,85,523,3,2,2022-12-16 15:31:17
86,86,129,3,2,2023-06-25 12:16:57
87,87,372,3,3,2023-03-27 22:00:57
88,88,124,3,2,2023-12-18 21:40:28
89,89,702,3,3,2023-02-25 18:33:00
90,90,850,3,3,2023-04-12 23:53:16
91,91,222,3,3,2023-01-11 06:47:46
92,92,434,3,1,2023-04-02 16:12:36
93,93,346,3,3,2022-10-29 17:29:09
94,94,899,3,1,2023-09-22 20:48:28
95,95,108,4,4,2022-11-23 02:05:44
96,96,764,4,1,2023-04-17 21:39:10
97,97,464,4,1,2023-03-19 01:19:28
98,98,111,4,3,2023-08-15 05:59:28
99,99,579,4,4,2023-07-28 11:47:36
100,100,871,4,4,2023-02-18 13:39:53
101,101,782,4,1,2023-11-21 07:03:44
102,102,158,4,2,2023-07-21 02:51:21
103,103,475,4,1,2022-11-07 14:52:45
104,104,576,4,1,2022-11-12 02:42:02
105,105,457,4,4,2022-11-15 03:40:04
106,106,106,4,4,2023-03-09 00:52:22
107,107,651,4,2,2023-07-13 11:47:19
108,108,563,4,3,2023-11-03 08:17:05
109,109,92,4,1,2023-02-24 19:11:37
110,110,45,4,4,2023-09-12 09:10:07
111,111,311,4,2,2023-09-12 17:24:14
112,112,283,4,1,2023-09-28 07:38:49
113,113,478,4,4,2023-12-06 04:10:25
114,114,103,4,4,2023-01-23 15:38:38
115,115,744,4,3,2022-10-26 10:28:41
116,116,479,4,2,2022-12-05 16:41:01
117,117,534,4,2,2023-09-12 19:43:23
118,118,480,4,2,2023-05-11 02:54:57
119,119,151,4,1,2023-12-11 18:36:19
120,120,233,4,1,2023-10-04 16:30:44
121,121,269,4,4,2022-11-21 02:29:29
122,122,615,4,1,2022-12-29 00:48:00
123,123,55,4,2,2023-09-10 05:45:13
124,124,318,4,1,2023-10-03 07:19:19
125,125,872,5,3,2023-05-27 10:03:49
126,126,675,5,4,2023-05-16 05:19:13
127,127,693,5,3,2023-06-24 11:53:50
128,128,884,5,3,2022-12-23 15:29:20
129,129,689,5,2,2023-08-29 07:57:22
130,130,403,5,3,2023-12-14 04:13:51
131,131,139,5,4,2023-04-21 20:25:20
132,132,335,5,3,2023-10-31 10:09:38
133,133,216,5,4,2023-04-20 10:24:04
134,134,315,5,3,2023-12-09 23:54:48
135,135,182,5,1,2023-04-25 00:41:11
136,136,703,5,1,2023-03-24 16:26:15
137,137,253,5,2,2023-06-04 09:59:03
138,138,106,5,2,2022-12-22 05:47:24
139,139,620,5,3,2023-10-24 17:47:50
140,140,431,5,2,2022-11-24 01:44:32
141,141,186,5,2,2023-02-11 05:05:36
142,142,813,5,4,2022-10-30 02:34:47
143,143,98,5,2,2023-10-19 11:47:03
144,144,129,5,1,2023-04-06 16:11:45
145,145,341,5,1,2023-08-11 11:55:34
146,146,200,5,2,2023-12-26 08:23:03
147,147,745,5,4,2023-06-11 11:09:26
148,148,652,5,3,2022-11-07 04:12:03
149,149,544,5,3,2023-10-24 22:37:37
150,150,591,5,2,2023-08-07 06:33:44
151,151,574,5,4,2023-10-30 04:26:03
152,152,237,5,4,2023-11-20 11:41:35
153,153,120,5,2,2023-01-16 07:38:00
154,154,599,5,3,2023-03-17 19:02:14
155,155,98,5,4,2023-01-01 15:11:12
156,156,702,5,2,2022-12-31 01:08:24
157,157,856,5,4,2023-01-16 19:29:18
158,158,778,5,4,2023-03-17 03:05:53
159,159,147,5,1,2023-11-12 14:50:55
160,160,329,5,3,2023-07-03 07:51:28
161,161,512,5,1,2023-11-20 13:39:41
162,162,580,6,2,2023-10-28 21:13:57
163,163,555,6,3,2023-10-21 22:52:15
164,164,478,6,1,2023-12-29 09:32:31
165,165,499,6,4,2023-05-19 23:27:00
166,166,654,6,2,2022-11-01 20:11:22
167,167,668,6,4,2023-11-01 14:50:25
168,168,751,6,1,2022-12-09 01:44:03
169,169,447,6,1,2023-02-27 12:02:38
170,170,687,6,4,2023-08-05 06:47:09
171,171,734,6,3,2023-05-20 13:01:37
172,172,459,6,2,2023-01-14 11:18:01
173,173,894,6,3,2023-10-29 11:01:17
174,174,341,6,4,2023-05-04 01:28:32
175,175,159,6,2,2023-10-20 17:13:48
176,176,366,6,4,2023-03-02 15:09:33
177,177,7,6,2,2022-12-06 12:01:47
178,178,106,6,3,2023-10-30 07:35:18
179,179,819,6,1,2022-11-10 03:36:10
180,180,740,6,3,2023-10-26 02:02:33
181,181,20,6,1,2023-05-09 21:16:06
182,182,394,6,1,2023-03-31 01:02:00
183,183,623,6,4,2023-05-22 15:33:30
184,184,650,6,2,2023-05-27 21:05:57
185,185,537,6,3,2023-08-11 18:13:31
186,186,852,6,3,2022-12-21 19:58:09
187,187,75,6,1,2022-11-02 18:04:29
188,188,612,6,3,2023-01-16 18:52:50
189,189,645,6,4,2023-02-06 09:36:14
190,190,616,6,3,2023-07-12 18:53:40
191,191,273,6,4,2023-09-29 18:27:27
192,192,496,6,2,2023-03-05 09:31:44
193,193,744,6,3,2023-04-16 03:51:14
194,194,83,6,3,2023-03-06 11:26:31
195,195,772,6,3,2022-11-07 20:04:14
196,196,790,6,1,2023-10-03 05:32:01
197,197,396,6,2,2023-04-29 01:15:22
198,198,863,6,3,2022-11-09 13:14:51
199,199,113,6,1,2023-01-07 13:09:33
200,200,623,6,3,2023-09-28 12:54:57
201,201,676,7,3,2023-12-19 04:27:52
202,202,378,7,3,2022-11-24 21:13:48
203,203,624,7,2,2023-05-30 01:31:00
204,204,898,7,3,2022-11-18 12:38:03
205,205,497,7,1,2023-01-08 14:00:15
206,206,511,7,1,2023-12-07 15:27:25
207,207,754,7,2,2023-04-09 13:44:01
208,208,214,7,1,2022-11-04 11:57:36
209,209,131,7,2,2023-02-17 19:04:04
210,210,499,7,4,2023-05-06 03:19:44
211,211,525,7,3,2023-02-03 03:44:37
212,212,193,7,2,2023-12-09 02:57:39
213,213,654,7,1,2023-01-09 15:02:17
214,214,81,7,1,2023-07-07 01:09:51
215,215,105,7,2,2023-05-22 20:46:14
216,216,133,7,1,2023-11-21 14:46:23
217,217,820,7,1,2023-08-03 20:35:00
218,218,292,7,4,2022-11-09 01:03:47
219,219,658,7,2,2023-06-08 00:01:48
220,220,218,7,2,2023-09-23 05:14:29
221,221,19,7,1,2022-12-03 23:56:35
222,222,36,7,4,2023-08-08 16:36:52
223,223,394,7,1,2023-03-18 22:21:58
224,224,283,7,2,2023-04-02 19:42:20
225,225,30,7,1,2023-09-30 22:59:08
226,226,144,7,4,2023-07-11 07:51:31
227,227,854,7,4,2023-07-23 12:32:36
228,228,703,7,2,2023-12-28 22:44:01
229,229,464,7,2,2023-01-07 07:24:33
230,230,97,7,1,2023-08-02 07:12:01
231,231,614,7,4,2023-07-11 07:04:15
232,232,375,7,1,2023-04-06 13:37:33
233,233,297,7,3,2023-11-24 10:52:27
234,234,745,7,3,2022-12-01 08:54:22
235,235,403,8,1,2023-12-25 08:06:01
236,236,583,8,3,2022-11-03 08:21:08
237,237,102,8,1,2023-04-24 19:21:52
238,238,871,8,1,2023-05-05 11:19:21
239,239,723,8,4,2023-02-27 23:22:55
240,240,860,8,3,2023-02-15 16:44:48
241,241,525,8,2,2023-09-22 15:22:19
242,242,848,8,3,2022-11-23 01:30:02
243,243,404,8,3,2022-12-29 13:17:50
244,244,43,8,2,2022-12-19 03:51:05
245,245,43,8,3,2023-03-29 20:48:27
246,246,849,8,4,2023-11-08 11:37:38
247,247,232,8,2,2023-06-30 13:01:11
248,248,103,8,1,2023-04-08 22:51:45
